filename,annot.clip,rec_type,language,age_mo_round,prop.is.cx,prop.is.ma,prop.is.fa
C18_C17_M11_20170718_m1.txt,annotated-45240000_45300000-13,manual,Tsimane',30,1,0,0
C18_C17_M11_20170718_m1.txt,annotated-48840000_48900000-14,manual,Tsimane',30,1,0.5,0.5
C18_C17_M11_20170718_m1.txt,annotated-52440000_52500000-15,manual,Tsimane',30,0,1,0
C20_C19_M12_20170711_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',38,1,0,0
C20_C19_M12_20170711_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',38,0,0,1
C20_C19_M12_20170711_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',38,1,0,0
C20_C19_M12_20170711_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',38,0.6666666666666666,0,0.3333333333333333
C20_C19_M12_20170711_m1.txt,annotated-38040000_38100000-11,manual,Tsimane',38,1,0,1
C20_C19_M12_20170711_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',38,0,1,1
C22_C21_M13_20170717_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',15,0,0,1
C22_C21_M13_20170717_m1.txt,annotated-45240000_45300000-13,manual,Tsimane',15,1,0,0
C22_C21_M13_20170717_m1.txt,annotated-48840000_48900000-14,manual,Tsimane',15,0,0,1
C22_C21_M13_20170717_m1.txt,annotated-52440000_52500000-15,manual,Tsimane',15,1,0,0
C22_C21_M13_20170717_m1.txt,annotated-56040000_56100000-16,manual,Tsimane',15,1,0,0
C24_C23_M14_20170712_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',53,0,0,1
C24_C23_M14_20170712_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',53,0,1,0
C24_C23_M14_20170712_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',53,1,0,1
C24_C23_M14_20170712_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',53,1,0,0
C24_C23_M14_20170719_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',54,0,0.5,0.5
C24_C23_M14_20170719_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',54,0,0,1
C24_C23_M14_20170719_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',54,0.5,0.5,0
C24_C23_M14_20170719_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',54,1,0,1
C24_C23_M14_20170719_m1.txt,annotated-30840000_30900000-9,manual,Tsimane',54,1,0,0
C24_C23_M14_20170719_m1.txt,annotated-5640000_5700000-2,manual,Tsimane',54,1,0,0
C25_NA_M14_20170719_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',8,1,0,0
C25_NA_M14_20170719_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',8,0,0,1
C25_NA_M14_20170719_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',8,0.5,0.5,1
C25_NA_M14_20170719_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',8,1,0,0.4
C25_NA_M14_20170719_m1.txt,annotated-30840000_30900000-9,manual,Tsimane',8,1,0,1
C25_NA_M14_20170719_m1.txt,annotated-56040000_56100000-16,manual,Tsimane',8,0,0,1
C25_NA_M14_20170719_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',8,0,0,1
e20170707_092123_013098.its,annotated-11040000_11100000-6,LENA,Tsimane',32,0,1,0.5
e20170707_092123_013098.its,annotated-2040000_2100000-1,LENA,Tsimane',32,0.6666666666666666,0,0.6666666666666666
e20170707_092123_013098.its,annotated-50640000_50700000-28,LENA,Tsimane',32,1,0,0
e20170707_092123_013098.its,annotated-52440000_52500000-29,LENA,Tsimane',32,1,0,1
e20170707_092123_013098.its,annotated-54240000_54300000-30,LENA,Tsimane',32,0,1,0
e20170707_092123_013098.its,annotated-7440000_7500000-4,LENA,Tsimane',32,0.5,1,0.5
